model_a,display_a,model_b,display_b,stat,metric,level,population,relation,diff_point,ci_low,ci_high,excludes_zero,n_valid
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,csr|csr,csr,csr,,,-0.005999999999999894,-0.027999999999999914,0.014999999999999902,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,element_f1|micro|compiled_only,element_f1,micro,compiled_only,,-0.0011425074495573506,-0.015412384201465554,0.014607552497547251,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,element_f1|macro|compiled_only,element_f1,macro,compiled_only,,-0.004669285831447212,-0.012731254637328684,0.0034895101452734017,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1|micro|compiled_only,relationship_f1,micro,compiled_only,,0.07890264103515587,0.05254880563920718,0.1079893598232052,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1|macro|compiled_only,relationship_f1,macro,compiled_only,,0.03672171421419923,0.021025598314975726,0.05155713772887333,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,chrf|macro|compiled_only,chrf,macro,compiled_only,,-2.7106583485052766,-3.485811083590941,-1.9422212580198788,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,element_f1|micro|zeros_for_failed,element_f1,micro,zeros_for_failed,,-0.01191875529183839,-0.029401567443280957,0.00792339742743449,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,element_f1|macro|zeros_for_failed,element_f1,macro,zeros_for_failed,,-0.010112463460214771,-0.029896503183453455,0.010055486580573965,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1|micro|zeros_for_failed,relationship_f1,micro,zeros_for_failed,,0.06417114687005854,0.03894900240378466,0.09033525564487045,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1|macro|zeros_for_failed,relationship_f1,macro,zeros_for_failed,,0.03139606500266612,0.010684053425425078,0.05455079327104002,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,chrf|macro|zeros_for_failed,chrf,macro,zeros_for_failed,,-2.953277427831601,-4.503942054714878,-1.420146008689117,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,type_accuracy|accuracy|compiled_only,type_accuracy,accuracy,compiled_only,,-0.008387507654623372,-0.024484409058811087,0.006255311801259862,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::inheritance|micro|compiled_only,relationship_f1,micro,compiled_only,inheritance,-0.03438921011840845,-0.06730697131981038,0.004583146730482679,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::composition|micro|compiled_only,relationship_f1,micro,compiled_only,composition,0.16198872751536836,0.06864820678637373,0.2503474076684193,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::aggregation|micro|compiled_only,relationship_f1,micro,compiled_only,aggregation,0.10495195861049522,0.004316485974702692,0.1982994563868437,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::dependency|micro|compiled_only,relationship_f1,micro,compiled_only,dependency,0.03327021325953139,-0.07155905633499972,0.13072863910111823,False,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::association|micro|compiled_only,relationship_f1,micro,compiled_only,association,0.06313611519739759,0.013295913920602094,0.11045471795457111,True,1000
gpt-5.2,GPT-5.2,claude-opus-4-6,Claude Opus 4.6,relationship_f1::message|micro|compiled_only,relationship_f1,micro,compiled_only,message,0.0998003534599613,0.0654678491595401,0.13930439865150843,True,1000
