scope,tier,n,content_lines,mp,lines_per_mp,mean_mp,mean_lines_per_mp
all,1,250,1864,213.151774,8.744942465268903,0.852607096,10.141007097213457
all,2,250,4268,322.15155,13.248422986013882,1.2886062,15.910632836439325
all,3,250,8331,394.49836700000003,21.117958138468033,1.577993468,25.241707870611812
all,4,250,19668,392.63504,50.0923198296311,1.57054016,60.49034025311426
class,1,125,871,85.319538,10.208681626944582,0.682556304,11.973047883621486
class,2,125,2178,142.220462,15.314252037797488,1.137763696,17.93177895185118
class,3,125,4489,184.191957,24.371313889672173,1.473535656,30.283697208913743
class,4,125,11283,182.911904,61.685433004950845,1.463295232,75.47228591021643
sequence,1,125,993,127.832236,7.767993669452829,1.022657888,8.308966310805426
sequence,2,125,2090,179.931088,11.615558062984647,1.439448704,13.889486721027472
sequence,3,125,3842,210.30641,18.26858249351506,1.68245128,20.199718532309877
sequence,4,125,8385,209.723136,39.98128275175134,1.677785088,45.508394596012096
