label,model_id,display,scope,scope_value,population,metric,stat,value
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,,csr,csr,0.968
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,,csr,compiled,968
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,,csr,n,1000
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,micro_precision,0.9425898752751284
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,micro_recall,0.9434551129061869
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,micro_f1,0.9430222956234516
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,macro_precision,0.9535512634370076
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,macro_recall,0.957615068893762
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,macro_f1,0.9547450890217501
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,element_f1,n,968
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,micro_precision,0.9425898752751284
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,micro_recall,0.8949843260188087
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,micro_f1,0.9181704484545291
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,macro_precision,0.9230376230070233
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,macro_recall,0.9269713866891616
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,macro_f1,0.9241932461730541
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,element_f1,n,1000
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,micro_precision,0.7388985633434915
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,micro_recall,0.7581239530988275
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,micro_f1,0.7483878079700159
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,macro_precision,0.8323650973704746
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,macro_recall,0.8367830327030459
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,macro_f1,0.8333244230927723
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,compiled_only,relationship_f1,n,968
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,relationship_f1,micro_precision,0.7388985633434915
supplementary,claude-sonnet-4-6,Claude Sonnet 4.6,overall,,zeros_for_failed,relationship_f1,micro_recall,0.7194023524425135
