model_id,display,population,relation,precision,recall,f1,support_gt,support_pred,n_diagrams_with_gt,n
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,inheritance,0.8490566037735849,0.8471760797342193,0.8481152993348116,903,901,245,968
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,composition,0.7346938775510204,0.3985239852398524,0.5167464114832535,271,147,76,968
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,aggregation,0.6503067484662577,0.45689655172413796,0.5367088607594938,232,163,91,968
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,dependency,0.4967741935483871,0.6543909348441926,0.5647921760391198,353,465,94,968
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,association,0.5966303270564915,0.665929203539823,0.6293779404077365,904,1009,216,968
claude-sonnet-4-6,Claude Sonnet 4.6,compiled_only,message,0.7653390742734123,0.7910044500953591,0.7779601406799531,6292,6503,486,968
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,inheritance,0.8490566037735849,0.8138297872340425,0.8310700706137968,940,901,258,1000
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,composition,0.7346938775510204,0.36,0.48322147651006714,300,147,82,1000
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,aggregation,0.6503067484662577,0.4344262295081967,0.5208845208845209,244,163,97,1000
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,dependency,0.4967741935483871,0.5877862595419847,0.5384615384615384,393,465,106,1000
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,association,0.5966303270564915,0.5936883629191322,0.5951557093425606,1014,1009,231,1000
claude-sonnet-4-6,Claude Sonnet 4.6,zeros_for_failed,message,0.7653390742734123,0.7603116406966086,0.7628170741052954,6546,6503,497,1000
